BasePercentageIndex	Count
0	0
1	544
2	2124
3	3742
4	5058
5	5092
6	3376
7	1432
8	260
9	16
10	2
11	638
12	4604
13	12566
14	22864
15	30544
16	28458
17	18590
18	6342
19	680
20	28
21	2544
22	13492
23	35762
24	62680
25	76746
26	64800
27	36476
28	8148
29	584
30	4688
31	23938
32	59638
33	96524
34	103880
35	76134
36	26602
37	3338
38	4882
39	25754
40	62262
41	89978
42	80344
43	34566
44	4940
45	3652
46	18148
47	42138
48	52180
49	30924
50	4788
51	2134
52	9102
53	17728
54	18462
55	4940
56	944
57	3036
58	4568
59	3338
60	308
61	588
62	584
63	58
64	28
65	2
66	864
67	4954
68	11564
69	19202
70	22734
71	19536
72	10266
73	2564
74	474
75	58
76	5478
77	25124
78	60650
79	100478
80	114610
81	87016
82	37894
83	7060
84	588
85	13768
86	63506
87	153134
88	238306
89	246696
90	157324
91	47014
92	4568
93	21834
94	100460
95	231666
96	320846
97	273902
98	121192
99	18462
100	22274
101	104472
102	223210
103	260720
104	153008
105	30924
106	15338
107	68728
108	133400
109	121192
110	34566
111	7066
112	28300
113	47014
114	26602
115	2472
116	7060
117	8148
118	474
119	680
120	16
121	3640
122	13512
123	28730
124	42384
125	43502
126	29224
127	11632
128	2472
129	308
130	14970
131	58790
132	129876
133	194132
134	184608
135	107734
136	28300
137	3036
138	31110
139	132104
140	293744
141	397906
142	326300
143	133400
144	17728
145	43784
146	192662
147	394616
148	446496
149	260720
150	52180
151	42282
152	182384
153	326300
154	273902
155	80344
156	27944
157	107734
158	157324
159	76134
160	11632
161	37894
162	36476
163	2564
164	6342
165	260
166	6200
167	21818
168	42836
169	56908
170	51926
171	27944
172	7066
173	944
174	22642
175	86306
176	176984
177	231370
178	182384
179	68728
180	9102
181	44770
182	178510
183	352060
184	394616
185	223210
186	42138
187	58402
188	231370
189	397906
190	320846
191	89978
192	51926
193	184608
194	246696
195	103880
196	29224
197	87016
198	64800
199	10266
200	18590
201	1432
202	8142
203	26642
204	48724
205	58402
206	42282
207	15338
208	2134
209	27038
210	96404
211	178510
212	192662
213	104472
214	18148
215	48724
216	176984
217	293744
218	231666
219	62262
220	56908
221	194132
222	238306
223	96524
224	43502
225	114610
226	76746
227	19536
228	28458
229	3376
230	8788
231	27038
232	44770
233	43784
234	22274
235	3652
236	26642
237	86306
238	132104
239	100460
240	25754
241	42836
242	129876
243	153134
244	59638
245	42384
246	100478
247	62680
248	22734
249	30544
250	5092
251	8142
252	22642
253	31110
254	21834
255	4882
256	21818
257	58790
258	63506
259	23938
260	28730
261	60650
262	35762
263	19202
264	22864
265	5058
266	6200
267	14970
268	13768
269	4688
270	13512
271	25124
272	13492
273	11564
274	12566
275	3742
276	3640
277	5478
278	2544
279	4954
280	4604
281	2124
282	864
283	638
284	544
285	0
